[ 2025-07-19 18:21:33,863 ] 19 root - INFO - Initiate the data ingestion
[ 2025-07-19 18:21:38,836 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-19 18:21:38,837 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-19 18:21:38,839 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-19 18:21:38,994 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-19 18:21:38,997 ] 21 root - INFO - Data Initiation Completed
[ 2025-07-19 18:21:39,009 ] 25 root - INFO - Initiate the data Validation
[ 2025-07-19 18:21:39,199 ] 32 root - INFO - Required number of columns:2
[ 2025-07-19 18:21:39,200 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-19 18:21:39,200 ] 32 root - INFO - Required number of columns:2
[ 2025-07-19 18:21:39,200 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-19 18:21:39,547 ] 27 root - INFO - data Validation Completed
[ 2025-07-19 18:21:39,548 ] 30 root - INFO - data Transformation started
[ 2025-07-19 18:21:39,549 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-19 18:21:39,549 ] 65 root - INFO - Starting data transformation
[ 2025-07-19 18:21:39,624 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-19 18:21:39,625 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-19 18:21:39,666 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 18:21:39,680 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 18:21:39,680 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 18:21:39,692 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 18:21:39,697 ] 34 root - INFO - data Transformation completed
[ 2025-07-19 18:21:39,697 ] 36 root - INFO - Model Training sstared
