[ 2025-07-19 18:33:39,558 ] 19 root - INFO - Initiate the data ingestion
[ 2025-07-19 18:33:44,694 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-19 18:33:44,694 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-19 18:33:44,696 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-19 18:33:44,927 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-19 18:33:44,931 ] 21 root - INFO - Data Initiation Completed
[ 2025-07-19 18:33:44,965 ] 25 root - INFO - Initiate the data Validation
[ 2025-07-19 18:33:45,312 ] 32 root - INFO - Required number of columns:2
[ 2025-07-19 18:33:45,312 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-19 18:33:45,312 ] 32 root - INFO - Required number of columns:2
[ 2025-07-19 18:33:45,313 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-19 18:33:46,059 ] 27 root - INFO - data Validation Completed
[ 2025-07-19 18:33:46,063 ] 30 root - INFO - data Transformation started
[ 2025-07-19 18:33:46,064 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-19 18:33:46,064 ] 65 root - INFO - Starting data transformation
[ 2025-07-19 18:33:46,156 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-19 18:33:46,157 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-19 18:33:46,209 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 18:33:46,224 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 18:33:46,224 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 18:33:46,238 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 18:33:46,243 ] 34 root - INFO - data Transformation completed
[ 2025-07-19 18:33:46,243 ] 36 root - INFO - Model Training sstared
