[ 2025-07-19 17:47:43,078 ] 20 root - INFO - Initiate the data ingestion
[ 2025-07-19 17:47:48,194 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-07-19 17:47:48,194 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-19 17:47:48,196 ] 74 root - INFO - Exporting train and test file path.
[ 2025-07-19 17:47:48,355 ] 83 root - INFO - Exported train and test file path.
[ 2025-07-19 17:47:48,357 ] 22 root - INFO - Data Initiation Completed
[ 2025-07-19 17:47:48,372 ] 26 root - INFO - Initiate the data Validation
[ 2025-07-19 17:47:48,538 ] 32 root - INFO - Required number of columns:2
[ 2025-07-19 17:47:48,538 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-19 17:47:48,538 ] 32 root - INFO - Required number of columns:2
[ 2025-07-19 17:47:48,539 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-19 17:47:48,903 ] 28 root - INFO - data Validation Completed
[ 2025-07-19 17:47:48,904 ] 31 root - INFO - data Transformation started
[ 2025-07-19 17:47:48,905 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-19 17:47:48,905 ] 65 root - INFO - Starting data transformation
[ 2025-07-19 17:47:48,977 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-19 17:47:48,978 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-19 17:47:49,020 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 17:47:49,034 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 17:47:49,035 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 17:47:49,050 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 17:47:49,054 ] 35 root - INFO - data Transformation completed
